artist,00s,60s,70s,80s,90s,acoustic,alternative,alternative_rock,ambient,american,avant_garde,beautiful,black_metal,blues,blues_rock,british,britpop,chill,chillout,classic_rock,classical,country,cover,dance,dark_ambient,death_metal,doom_metal,downtempo,drum_and_bass,electro,electronic,emo,experimental,female_vocalists,folk,french,funk,german,gothic,gothic_metal,grindcore,grunge,guitar,hard_rock,hardcore,heavy_metal,hip_hop,house,idm,indie,indie_pop,indie_rock,industrial,instrumental,j_pop,japanese,jazz,lounge,love,male_vocalists,mellow,melodic_death_metal,metal,metalcore,nan,new_age,new_wave,noise,nu_metal,oldies,piano,polish,pop,pop_rock,post_hardcore,post_punk,post_rock,power_metal,progressive_metal,progressive_rock,psychedelic,psychedelic_rock,punk,punk_rock,rap,reggae,rnb,rock,russian,screamo,singer_songwriter,ska,soul,soundtrack,swedish,symphonic_metal,synthpop,techno,thrash_metal,trance,trip_hop
The Killers,15,0,0,0,0,1,35,40,0,17,0,2,0,0,0,1,1,0,1,0,0,1,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,37,1,42,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,12,1,0,1,0,0,0,0,0,1,0,0,0,0,0,42,0,0,0,0,0,1,0,0,3,0,0,0,0
Oasis,8,0,0,0,28,2,16,25,0,0,0,4,0,0,0,29,54,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,23,0,3,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,0,1,0,0,0,54,0,0,0,0,0,1,0,0,0,0,0,0,0
Nirvana,0,0,0,1,31,3,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Franz Ferdinand,13,0,0,0,0,1,28,30,0,0,0,1,0,0,0,32,34,0,0,0,0,0,0,3,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,3,38,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,15,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0
Radiohead,16,0,0,0,41,8,100,100,15,0,4,36,0,1,0,83,68,7,12,1,0,0,0,0,0,0,0,5,0,0,61,1,67,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,4,81,2,51,0,3,0,0,3,0,7,1,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,8,0,0,13,9,2,0,0,0,0,0,88,0,0,1,0,0,2,0,0,1,0,0,0,4
Coldplay,19,0,0,0,0,11,57,53,0,0,0,23,0,0,0,51,60,4,13,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,46,0,33,0,0,0,0,0,0,14,4,28,0,0,0,0,0,0,0,0,0,12,0,44,7,0,0,0,0,0,1,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,0,1,0
Red Hot Chili Peppers,3,0,0,4,20,1,32,38,0,7,0,1,0,0,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0
The White Stripes,31,0,0,0,4,2,35,34,0,16,0,1,0,19,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,29,0,31,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,1,0
Gorillaz,15,0,0,1,0,2,58,25,2,0,0,4,0,1,0,37,3,17,16,0,0,0,0,7,0,0,0,4,1,8,62,0,13,1,1,0,4,0,0,0,0,0,1,0,0,0,49,0,1,27,0,0,0,4,0,1,1,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,2,0,1,2,8,2,1,29,0,0,0,0,1,0,0,0,0,1,0,0,38
System of a Down,0,0,0,0,1,1,53,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,2,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,57,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,48,0,0,0,0,0,1,0,0,0,0,0,0,0
Blur,4,0,0,0,25,2,14,17,0,0,0,2,0,0,0,19,51,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,4,11,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,2,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1
Linkin Park,1,0,0,0,0,0,26,29,4,8,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,22,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0
Snow Patrol,9,0,0,0,0,0,20,21,0,0,0,8,0,0,0,16,24,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,23,0,0,0,1,0,0,9,1,9,0,0,0,0,0,0,0,0,0,1,0,6,3,0,0,0,0,0,2,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0
Muse,6,0,0,1,4,2,56,62,0,0,0,14,0,2,0,54,13,0,4,0,2,0,2,0,0,0,0,0,0,0,7,1,4,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,34,0,25,1,3,0,0,0,0,6,4,5,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,1,0,0,61,1,0,0,0,0,0,0,63,0,0,0,0,0,1,0,0,1,0,0,0,0
