,artist,cluster,genre
0,The Killers,2,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', '00s']"
1,Oasis,2,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', '90s', 'love', 'britpop']"
2,Nirvana,11,"['rock', 'alternative', 'alternative_rock', '90s', 'grunge']"
3,Franz Ferdinand,2,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'british', '00s', 'britpop']"
4,Radiohead,3,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'british', '90s', 'britpop']"
5,Coldplay,3,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'indie_rock']"
6,Red Hot Chili Peppers,11,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', 'britpop']"
7,The White Stripes,2,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'british', '90s', 'britpop']"
8,Gorillaz,2,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', 'piano', 'love', 'beautiful', '00s', 'britpop', 'mellow']"
9,System of a Down,4,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', 'chillout', 'piano', 'britpop']"
10,Blur,12,"['rock', 'alternative', 'alternative_rock', '90s', 'funk']"
11,Linkin Park,4,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock']"
12,Snow Patrol,2,"['rock', 'electronic', 'alternative', 'indie', 'pop', 'alternative_rock', 'dance', 'british', 'hip_hop', 'trip_hop']"
13,Muse,3,"['rock', 'alternative', 'metal', 'alternative_rock', 'hard_rock', 'nu_metal']"
14,Queen,1,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'british', 'love', 'beautiful', 'britpop', 'mellow']"
15,Kings of Leon,2,"['rock', 'alternative', 'alternative_rock', '90s', 'grunge']"
16,Foo Fighters,11,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'british', '90s', 'britpop']"
17,Goo Goo Dolls,16,"['rock', 'alternative', 'metal', 'alternative_rock', 'nu_metal']"
18,The Cranberries,11,"['rock', 'alternative', 'indie', 'pop', 'alternative_rock', 'indie_rock', 'british', 'love', 'beautiful', 'britpop', 'mellow']"
19,Led Zeppelin,1,"['rock', 'alternative', 'alternative_rock', '90s', 'funk']"
20,Guns N' Roses,17,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock']"
21,The Rolling Stones,1,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'progressive_rock', 'british']"
22,The Strokes,2,"['rock', 'classic_rock', 'hard_rock', '80s', 'british', '70s']"
23,R.E.M.,11,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock']"
24,Black Sabbath,17,"['rock', 'alternative', 'indie', 'alternative_rock', 'indie_rock', 'progressive_rock', 'british', 'beautiful', 'britpop']"
25,Katy Perry,0,"['rock', 'electronic', 'alternative', 'indie', 'alternative_rock', 'experimental', 'indie_rock', 'progressive_rock', 'british', '90s', 'britpop']"
